onset	duration	sample	type	value
35.7841572175912	0	35786	Markers	Experiment start
35.7901570762835	0	35792	Markers	BL start
45.5909262502282	0	45593	Markers	Trial start
46.0479154872951	0	46050	Markers	BP
46.5489036881059	0	46551	Markers	BL start
49.9488236137678	0	49951	Markers	Trial start
50.2738159596031	0	50276	Markers	BP
50.7748041604139	0	50777	Markers	BL start
56.9746581425032	0	56977	Markers	Trial start
57.3256498760053	0	57328	Markers	BP
57.8266380768161	0	57829	Markers	BL start
59.8255909978155	0	59828	Markers	Trial start
60.1045844270095	0	60107	Markers	BP
60.6045726513716	0	60607	Markers	BL start
63.9054949086098	0	63908	Markers	Trial start
64.2284873015476	0	64231	Markers	BP
64.7284755259097	0	64731	Markers	BL start
69.7283577695301	0	69731	Markers	Trial start
69.9843517404034	0	69987	Markers	BP
70.4853399412142	0	70488	Markers	BL start
74.6852410258553	0	74688	Markers	Trial start
75.1162308752554	0	75119	Markers	BP
75.6172190760662	0	75620	Markers	BL start
83.417035376114	0	83420	Markers	Trial start
83.6740293234361	0	83677	Markers	BP
90.958857752391	0	90962	Markers	Experiment start
90.9668575639808	0	90970	Markers	BL start
94.0667845550254	0	94070	Markers	Trial start
94.3477779371169	0	94351	Markers	BP
94.8487661379277	0	94852	Markers	BL start
101.648605989251	0	101652	Markers	Trial start
101.918599630407	0	101922	Markers	BP
102.419587831218	0	102423	Markers	BL start
110.519397065883	0	110523	Markers	Trial start
110.763391319371	0	110767	Markers	BP
111.265379496631	0	111269	Markers	BL start
120.565160469765	0	120569	Markers	Trial start
120.844153898959	0	120848	Markers	BP
121.344142123321	0	121348	Markers	BL start
130.04393722722	0	130048	Markers	Trial start
130.322930656414	0	130327	Markers	BP
130.823918857225	0	130828	Markers	BL start
140.523690409849	0	140528	Markers	Trial start
140.810683650633	0	140815	Markers	BP
141.311671851443	0	141316	Markers	BL start
147.910516436574	0	147915	Markers	Trial start
148.192509795114	0	148197	Markers	BP
148.702497783963	0	148707	Markers	BL start
157.902281112225	0	157907	Markers	Trial start
158.189274353008	0	158194	Markers	BP
158.68926257737	0	158694	Markers	BL start
160.989208409436	0	160994	Markers	Trial start
161.298201132091	0	161303	Markers	BP
161.799189332902	0	161804	Markers	BL start
164.399128099585	0	164404	Markers	Trial start
164.665121834945	0	164670	Markers	BP
165.166110035756	0	165171	Markers	BL start
173.165921625549	0	173171	Markers	Trial start
173.437915219602	0	173443	Markers	BP
173.938903420413	0	173944	Markers	BL start
183.83967023923	0	183845	Markers	Trial start
184.080664563372	0	184086	Markers	BP
184.586652646427	0	184592	Markers	BL start
194.086428909305	0	194092	Markers	Trial start
194.337422997935	0	194343	Markers	BP
194.838411198746	0	194844	Markers	BL start
202.337234587728	0	202343	Markers	Trial start
202.632227640101	0	202638	Markers	BP
203.133215840912	0	203139	Markers	BL start
212.732989748663	0	212739	Markers	Trial start
213.019982989447	0	213026	Markers	BP
213.520971190258	0	213527	Markers	BL start
216.819893494599	0	216826	Markers	Trial start
217.151885675575	0	217158	Markers	BP
217.652873876386	0	217659	Markers	BL start
223.251742012792	0	223258	Markers	Trial start
223.547735041614	0	223554	Markers	BP
224.048723242425	0	224055	Markers	BL start
233.047511304493	0	233054	Markers	Trial start
233.275505934802	0	233282	Markers	BP
233.776494135613	0	233783	Markers	BL start
240.576333986937	0	240583	Markers	Trial start
240.857327369028	0	240864	Markers	BP
241.358315569839	0	241365	Markers	BL start
250.358103608355	0	250365	Markers	Trial start
250.626097296614	0	250633	Markers	BP
251.126085520976	0	251133	Markers	BL start
259.725882980003	0	259733	Markers	Trial start
260.045875443594	0	260053	Markers	BP
260.546863644405	0	260554	Markers	BL start
264.545769462853	0	264553	Markers	Trial start
264.857762114855	0	264865	Markers	BP
265.358750315665	0	265366	Markers	BL start
268.05868672722	0	268066	Markers	Trial start
268.434677871941	0	268442	Markers	BP
268.934666096303	0	268942	Markers	BL start
275.634508302754	0	275642	Markers	Trial start
275.924501472884	0	275932	Markers	BP
276.425489673695	0	276433	Markers	BL start
286.226258847639	0	286234	Markers	Trial start
286.58625036918	0	286594	Markers	BP
287.087238569991	0	287095	Markers	BL start
